nearest_x,run,n_clusters,n_noise
2.0,0.0,35,23
2.0,1.0,35,47
2.0,2.0,34,49
2.0,3.0,35,55
2.0,4.0,31,47
2.0,5.0,35,21
2.0,6.0,35,56
2.0,7.0,33,65
2.0,8.0,35,40
2.0,9.0,36,38
2.0,10.0,40,22
2.0,11.0,38,38
2.0,12.0,38,42
2.0,13.0,36,26
2.0,14.0,36,19
2.0,15.0,37,30
2.0,16.0,32,58
2.0,17.0,35,29
2.0,18.0,32,40
2.0,19.0,37,31
2.0,20.0,32,50
2.0,21.0,43,31
2.0,22.0,36,54
2.0,23.0,38,34
2.0,24.0,33,44
2.0,25.0,30,49
2.0,26.0,31,54
2.0,27.0,34,36
2.0,28.0,36,12
2.0,29.0,38,30
3.0,0.0,26,23
3.0,1.0,24,33
3.0,2.0,25,23
3.0,3.0,20,47
3.0,4.0,27,15
3.0,5.0,25,60
3.0,6.0,20,23
3.0,7.0,23,17
3.0,8.0,27,26
3.0,9.0,23,20
3.0,10.0,24,24
3.0,11.0,26,43
3.0,12.0,26,27
3.0,13.0,23,12
3.0,14.0,24,20
3.0,15.0,25,23
3.0,16.0,31,14
3.0,17.0,23,28
3.0,18.0,23,40
3.0,19.0,23,18
3.0,20.0,26,7
3.0,21.0,20,52
3.0,22.0,22,30
3.0,23.0,24,17
3.0,24.0,27,21
3.0,25.0,26,36
3.0,26.0,23,30
3.0,27.0,26,27
3.0,28.0,23,16
3.0,29.0,27,28
4.0,0.0,16,25
4.0,1.0,16,15
4.0,2.0,18,4
4.0,3.0,17,6
4.0,4.0,20,30
4.0,5.0,23,61
4.0,6.0,20,31
4.0,7.0,21,37
4.0,8.0,17,50
4.0,9.0,18,10
4.0,10.0,21,10
4.0,11.0,19,20
4.0,12.0,17,9
4.0,13.0,17,9
4.0,14.0,20,39
4.0,15.0,18,20
4.0,16.0,17,27
4.0,17.0,18,8
4.0,18.0,17,16
4.0,19.0,21,30
4.0,20.0,20,35
4.0,21.0,22,17
