nearest_x,run,step,n_clusters,n_noise
3.0,0.0,301,14,59
3.0,1.0,301,11,134
3.0,2.0,301,18,64
3.0,3.0,301,9,75
3.0,4.0,301,17,73
3.0,5.0,301,15,26
3.0,6.0,301,9,28
3.0,7.0,301,9,63
3.0,8.0,301,8,45
3.0,9.0,301,14,65
3.0,10.0,301,17,63
3.0,11.0,301,7,171
4.0,0.0,301,13,50
4.0,1.0,301,6,43
4.0,2.0,301,8,90
4.0,3.0,301,16,125
4.0,4.0,301,15,94
4.0,5.0,301,8,96
4.0,6.0,301,15,33
4.0,7.0,301,10,140
4.0,8.0,301,10,26
4.0,9.0,301,13,55
4.0,10.0,301,14,90
4.0,11.0,301,7,71
5.0,0.0,301,15,68
5.0,1.0,301,12,49
5.0,2.0,301,17,97
5.0,3.0,301,15,85
5.0,4.0,301,10,84
5.0,5.0,301,10,54
5.0,6.0,301,5,89
5.0,7.0,301,14,64
5.0,8.0,301,14,33
5.0,9.0,301,10,59
5.0,10.0,301,14,60
5.0,11.0,301,12,71
6.0,0.0,301,12,111
6.0,1.0,301,8,71
6.0,2.0,301,10,104
6.0,3.0,301,6,31
6.0,4.0,301,14,114
6.0,5.0,301,7,90
6.0,6.0,301,5,77
6.0,7.0,301,11,42
6.0,8.0,301,4,70
6.0,9.0,301,11,35
6.0,10.0,301,13,90
6.0,11.0,301,18,91
7.0,0.0,301,7,137
7.0,1.0,301,11,84
7.0,2.0,301,17,83
7.0,3.0,301,5,40
7.0,4.0,301,8,24
7.0,5.0,301,10,45
7.0,6.0,301,6,32
7.0,7.0,301,19,121
7.0,8.0,301,19,51
7.0,9.0,301,18,77
7.0,10.0,301,9,65
7.0,11.0,301,10,60
8.0,0.0,301,11,101
8.0,1.0,301,11,53
8.0,2.0,301,11,62
8.0,3.0,301,9,111
8.0,4.0,301,8,130
8.0,5.0,301,7,25
8.0,6.0,301,7,84
8.0,7.0,301,6,74
8.0,8.0,301,11,77
8.0,9.0,301,14,90
8.0,10.0,301,5,89
8.0,11.0,301,10,159
9.0,0.0,301,10,70
9.0,1.0,301,9,43
9.0,2.0,301,19,85
9.0,3.0,301,7,40
9.0,4.0,301,5,95
9.0,5.0,301,14,128
9.0,6.0,301,7,75
9.0,7.0,301,10,162
9.0,8.0,301,6,57
9.0,9.0,301,2,59
9.0,10.0,301,14,85
9.0,11.0,301,16,92
10.0,0.0,301,6,123
10.0,1.0,301,13,54
10.0,2.0,301,15,114
10.0,3.0,301,7,54
10.0,4.0,301,9,51
10.0,5.0,301,9,82
10.0,6.0,301,14,55
10.0,7.0,301,12,91
10.0,8.0,301,9,88
10.0,9.0,301,10,145
10.0,10.0,301,5,56
10.0,11.0,301,9,57
3.0,0.0,311,8,75
3.0,1.0,311,11,125
3.0,2.0,311,13,76
3.0,3.0,311,10,95
3.0,4.0,311,15,125
3.0,5.0,311,14,65
3.0,6.0,311,6,42
3.0,7.0,311,8,72
3.0,8.0,311,14,61
3.0,9.0,311,14,92
3.0,10.0,311,16,76
3.0,11.0,311,12,121
4.0,0.0,311,10,45
4.0,1.0,311,8,63
4.0,2.0,311,12,110
4.0,3.0,311,13,125
4.0,4.0,311,7,136
4.0,5.0,311,7,99
4.0,6.0,311,16,60
4.0,7.0,311,8,162
4.0,8.0,311,7,41
4.0,9.0,311,15,94
4.0,10.0,311,12,124
4.0,11.0,311,8,79
5.0,0.0,311,16,82
5.0,1.0,311,9,66
5.0,2.0,311,14,58
5.0,3.0,311,15,127
5.0,4.0,311,13,116
5.0,5.0,311,9,39
5.0,6.0,311,4,93
5.0,7.0,311,10,64
5.0,8.0,311,12,50
5.0,9.0,311,10,70
5.0,10.0,311,17,82
5.0,11.0,311,16,80
6.0,0.0,311,8,114
6.0,1.0,311,17,88
6.0,2.0,311,17,107
6.0,3.0,311,9,86
6.0,4.0,311,13,139
6.0,5.0,311,12,115
6.0,6.0,311,10,99
6.0,7.0,311,8,47
6.0,8.0,311,6,55
6.0,9.0,311,7,59
6.0,10.0,311,13,104
6.0,11.0,311,16,133
7.0,0.0,311,7,140
7.0,1.0,311,8,96
7.0,2.0,311,10,145
7.0,3.0,311,4,41
7.0,4.0,311,5,26
7.0,5.0,311,8,42
7.0,6.0,311,12,62
7.0,7.0,311,14,134
7.0,8.0,311,19,70
7.0,9.0,311,17,97
7.0,10.0,311,9,80
7.0,11.0,311,6,102
8.0,0.0,311,15,107
8.0,1.0,311,8,63
8.0,2.0,311,9,60
8.0,3.0,311,12,125
8.0,4.0,311,13,149
8.0,5.0,311,7,37
8.0,6.0,311,8,88
8.0,7.0,311,3,75
8.0,8.0,311,11,85
8.0,9.0,311,13,99
8.0,10.0,311,9,114
8.0,11.0,311,9,158
9.0,0.0,311,8,98
9.0,1.0,311,7,78
9.0,2.0,311,20,91
9.0,3.0,311,10,51
9.0,4.0,311,7,98
9.0,5.0,311,16,137
9.0,6.0,311,7,85
9.0,7.0,311,3,191
9.0,8.0,311,8,67
9.0,9.0,311,2,61
9.0,10.0,311,9,152
9.0,11.0,311,18,64
10.0,0.0,311,11,150
10.0,1.0,311,8,60
10.0,2.0,311,16,122
10.0,3.0,311,8,48
10.0,4.0,311,16,60
10.0,5.0,311,9,88
10.0,6.0,311,18,75
10.0,7.0,311,11,93
10.0,8.0,311,8,92
10.0,9.0,311,7,175
10.0,10.0,311,5,70
10.0,11.0,311,7,86
3.0,0.0,321,7,98
3.0,1.0,321,11,132
3.0,2.0,321,12,90
3.0,3.0,321,12,99
3.0,4.0,321,16,132
3.0,5.0,321,17,73
3.0,6.0,321,6,54
3.0,7.0,321,13,81
3.0,8.0,321,16,106
3.0,9.0,321,15,107
